"STATION","DATE","AWND","PRCP","SNOW","TAVG","WSF2","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT18","WT22"
"USW00094789","2013-01-01","15.21","0.00","0.0",,"29.1",,,,,,,,,,,,,,
"USW00094789","2013-01-02","14.54","0.00","0.0",,"28.0",,,,,,,,,,,,,,
"USW00094789","2013-01-03","11.63","0.00","0.0",,"17.9",,,,,,,,,,,,,,
"USW00094789","2013-01-04","16.33","0.00","0.0",,"25.1",,,,,,,,,,,,,,
"USW00094789","2013-01-05","11.63","0.00","0.0",,"25.1",,,,,,,,,,,,,,
"USW00094789","2013-01-06","10.29","0.00","0.0",,"17.0","    1",,,,,,,,"    1",,,,"    1",
"USW00094789","2013-01-07","8.28","0.00","0.0",,"21.0",,,,,,,,,,,,,,
"USW00094789","2013-01-08","10.51","0.00","0.0",,"19.9",,,,,,,,,,,,,,
"USW00094789","2013-01-09","7.83","0.00","0.0",,"19.9",,,,,,,,,,,,,,
"USW00094789","2013-01-10","11.86","0.00","0.0",,"25.1",,,,,,,,,,,,,,
"USW00094789","2013-01-11","6.26","0.58","0.0",,"13.0","    1",,,,,,,,"    1",,,"    1",,
"USW00094789","2013-01-12","6.04","0.06","0.0",,"14.1",,"    1",,,,,,,"    1","    1",,"    1",,
"USW00094789","2013-01-13","5.82","0.01","0.0",,"17.0",,"    1",,,,,,,"    1","    1",,,,
"USW00094789","2013-01-14","9.40","0.03","0.0",,"23.0",,"    1",,,,,,,"    1","    1",,"    1",,
"USW00094789","2013-01-15","8.72","0.11","0.0",,"16.1",,,,,,,,,,,,"    1",,
"USW00094789","2013-01-16","9.40","0.82","0.1",,"21.0",,,,"    1",,,,,"    1",,,"    1",,
"USW00094789","2013-01-17","11.63","0.00","0.0",,"21.0",,,,,,,,,,,,,,
"USW00094789","2013-01-18","12.97","0.00","0.0",,"21.9",,,,,,,,,,,,,"    1",
"USW00094789","2013-01-19","16.11","0.00","0.0",,"25.1",,,,,,,,,,,,,,
"USW00094789","2013-01-20","18.12","0.00","0.0",,"34.9",,,,,,,,,,,,,,
"USW00094789","2013-01-21","8.50","0.03","0.1",,"21.9",,,,,,,,,,,,,"    1",
"USW00094789","2013-01-22","18.34","0.00","0.0",,"28.0",,,,,,,,,,,,,"    1",
"USW00094789","2013-01-23","13.87","0.00","0.0",,"21.9",,,,,,,,,,,,,,
"USW00094789","2013-01-24","15.43","0.00","0.0",,"33.1",,,,,,,,,,,,,,
"USW00094789","2013-01-25","8.95","0.05","0.8",,"21.9","    1",,,,,,,,"    1",,,,"    1",
"USW00094789","2013-01-26","12.75","0.00","0.0",,"25.9",,,,,,,,,,,,,,
"USW00094789","2013-01-27","9.40","0.00","0.0",,"17.0",,,,,,,,,,,,,,
"USW00094789","2013-01-28","8.50","0.19","0.1",,"19.9",,,,"    1",,,,,"    1",,,"    1","    1",
"USW00094789","2013-01-29","7.16","0.03","0.0",,"16.1",,,,,,,,,"    1",,,"    1",,
"USW00094789","2013-01-30","17.00","0.03","0.0",,"34.9",,"    1",,,,,,,"    1","    1",,"    1",,
"USW00094789","2013-01-31","28.86","0.45","0.0",,"44.1","    1",,,,,,,,"    1",,,"    1","    1",
"USW00094789","2013-02-01","19.69","0.00","0.0",,"30.0",,,,,,,,,,,,,"    1",
"USW00094789","2013-02-02","13.20","0.02","0.3",,"23.0","    1",,,,,,,,"    1",,,,"    1",
"USW00094789","2013-02-03","7.16","0.03","0.5",,"14.1","    1",,,,,,,,"    1",,,,"    1",
"USW00094789","2013-02-04","15.88","0.00","0.0",,"28.0",,,,,,,,,,,,,,
"USW00094789","2013-02-05","5.59","0.01","0.2",,"10.1",,,,,,,,,"    1",,,,"    1",
"USW00094789","2013-02-06","12.08","0.00","0.0",,"25.1",,,,,,,,,"    1","    1","    1",,"    1",
"USW00094789","2013-02-07","6.93","0.00","0.0",,"16.1",,,,,,,,,,,,,,
"USW00094789","2013-02-08","19.91","0.78","2.9",,"32.0",,,,"    1",,,,"    1",,,,"    1","    1",
"USW00094789","2013-02-09","20.36","0.18","3.5",,"31.1",,,,,,,,"    1","    1",,,,"    1","    1"
"USW00094789","2013-02-10","5.82","0.00","0.0",,"15.0",,,,,,,"    1",,,,,,,
"USW00094789","2013-02-11","7.16","0.46","0.0",,"23.0","    1","    1",,,,,,,,"    1",,"    1",,
"USW00094789","2013-02-12","14.32","0.00","0.0",,"25.9",,,,,,,,,,,,,,
"USW00094789","2013-02-13","5.14","0.01","0.0",,"16.1",,,,,,,,,,,,"    1","    1",
"USW00094789","2013-02-14","8.72","0.00","0.0",,"17.0","    1",,,,,,,,,,,"    1","    1",
"USW00094789","2013-02-15","8.28","0.00","0.0",,"17.0",,,,,,,,,,,,"    1",,
"USW00094789","2013-02-16","14.09","0.00","0.0",,"25.9",,,,,,,,,,,,"    1","    1",
"USW00094789","2013-02-17","27.07","0.00","0.0",,"36.9",,,,,,,,,,,,,,
"USW00094789","2013-02-18","16.33","0.00","0.0",,"30.0",,,,,,,,,,,,,,
"USW00094789","2013-02-19","15.43","0.13","0.0",,"30.0","    1",,,,,,,,"    1",,,"    1",,
"USW00094789","2013-02-20","21.25","0.00","0.0",,"32.0",,,,,,,,,,,,,,
"USW00094789","2013-02-21","20.80","0.00","0.0",,"33.1",,,,,,,,,,,,,,
"USW00094789","2013-02-22","9.40","0.00","0.0",,"21.0",,,,,,,,,,,,"    1","    1",
"USW00094789","2013-02-23","11.63","0.38","0.0",,"19.9","    1",,,,,,,,"    1","    1",,"    1",,
"USW00094789","2013-02-24","16.11","0.03","0.0",,"23.9","    1",,,,,,,,"    1","    1",,,,
"USW00094789","2013-02-25","8.50","0.00","0.0",,"17.9",,,,,,,,,,,,,,
"USW00094789","2013-02-26","12.75","0.10","0.0",,"29.1","    1",,,,,,,,"    1",,,"    1",,
"USW00094789","2013-02-27","17.90","0.60","0.0",,"38.9",,,,,,,,,"    1","    1",,"    1",,
"USW00094789","2013-02-28","9.17","0.00","0.0",,"19.9","    1",,,,,,,,,,,"    1",,
"USW00094789","2013-03-01","12.97","0.00","0.0",,"21.9",,,,,,,,,,,,,,
"USW00094789","2013-03-02","12.30","0.00","0.0",,"21.0",,,,,,,,,,,,,"    1",
"USW00094789","2013-03-03","14.76","0.00","0.0",,"23.9",,,,,,,,,,,,,"    1",
"USW00094789","2013-03-04","19.91","0.00","0.0",,"31.1",,,,,,,,,,,,,,
"USW00094789","2013-03-05","10.29","0.00","0.0",,"25.9",,,,,,,,,,,,,,
"USW00094789","2013-03-06","23.49","0.00","0.0",,"38.9",,,,,,,,,,,,"    1","    1",
"USW00094789","2013-03-07","21.47","0.07","0.0",,"30.0","    1",,,,,,,,"    1",,,"    1","    1",
"USW00094789","2013-03-08","18.57","0.27","3.0",,"25.9","    1",,,,,,,,"    1",,,"    1","    1","    1"
"USW00094789","2013-03-09","12.53","0.00","0.0",,"25.1",,,,,,,,,,,,,,
"USW00094789","2013-03-10","7.16","0.00","0.0",,"13.0",,,,,,,,,,,,,,
"USW00094789","2013-03-11","9.84","0.00","0.0",,"17.9",,,,,,,,,,,,,,
"USW00094789","2013-03-12","18.79","0.66","0.0",,"30.0",,,,,,,,,"    1",,,"    1",,
"USW00094789","2013-03-13","12.30","0.00","0.0",,"23.0",,,,,,,,,,,,,,
"USW00094789","2013-03-14","22.59","0.00","0.0",,"36.0",,,,,,,,,,,,,,
"USW00094789","2013-03-15","14.32","0.00","0.0",,"25.1",,,,,,,,,,,,,,
"USW00094789","2013-03-16","6.93","0.02","0.0",,"21.9",,,,,,,,,"    1",,,,"    1",
"USW00094789","2013-03-17","12.30","0.00","0.0",,"23.0",,,,,,,,,,,,,,
"USW00094789","2013-03-18","14.32","0.47","1.4",,"28.0",,,,"    1",,,,,"    1",,,"    1","    1",
"USW00094789","2013-03-19","13.87","0.46","0.0",,"23.9","    1",,,,,,,,"    1","    1",,"    1",,
"USW00094789","2013-03-20","15.43","0.00","0.0",,"28.0",,,,,,,,,,,,,,
"USW00094789","2013-03-21","12.53","0.00","0.0",,"21.0",,,,,,,,,,,,,"    1",
"USW00094789","2013-03-22","14.09","0.00","0.0",,"23.9",,,,,,,,,,,,,,
"USW00094789","2013-03-23","18.34","0.00","0.0",,"29.1",,,,,,,,,,,,,,
"USW00094789","2013-03-24","8.72","0.00","0.0",,"21.9",,,,,,,,,,,,,,
"USW00094789","2013-03-25","9.62","0.25","0.0",,"23.0","    1",,,,,,,,"    1",,,"    1","    1",
"USW00094789","2013-03-26","9.40","0.00","0.0",,"21.9",,,,,,,,,,,,"    1",,
"USW00094789","2013-03-27","14.54","0.00","0.0",,"25.1",,,,,,,,,,,,,,
"USW00094789","2013-03-28","14.54","0.00","0.0",,"21.0",,,,,,,,,,,,"    1",,
"USW00094789","2013-03-29","12.75","0.00","0.0",,"23.0",,,,,,,,,,,,,,
"USW00094789","2013-03-30","9.40","0.00","0.0",,"21.9",,,,,,,,,,,,,,
"USW00094789","2013-03-31","10.96","0.12","0.0",,"23.0","    1",,,,,,,,"    1","    1",,"    1",,
"USW00094789","2013-04-01","14.99","0.00","0.0","49","35.1",,,,,,,,,,,,,,
"USW00094789","2013-04-02","16.33","0.00","0.0","40","25.9",,,,,,,,,,,,,,
"USW00094789","2013-04-03","18.12","0.00","0.0","40","30.0",,,,,,,,,,,,,,
"USW00094789","2013-04-04","11.63","0.00","0.0","39","23.0",,,,,,,,,,,,,,
"USW00094789","2013-04-05","12.53","0.00","0.0","47","30.0",,,,,,,,,,,,,,
"USW00094789","2013-04-06","12.75","0.00","0.0","43","31.1",,,,,,,,,,,,,,
"USW00094789","2013-04-07","16.33","0.00","0.0","44","32.0",,,,,,,,,,,,,,
"USW00094789","2013-04-08","6.93","0.00","0.0","53","16.1",,,,,,,,,,,,,,
"USW00094789","2013-04-09","6.71","0.00","0.0","62","25.9",,,,,,,,,,,,,,
"USW00094789","2013-04-10","9.17","0.59","0.0","59","32.0",,,,,,,,,,,,,,
"USW00094789","2013-04-11","11.41","0.00","0.0","54","23.9",,,,,,,,,,,,,,
"USW00094789","2013-04-12","18.12","0.87","0.0","45","33.1",,,,,,,,,,,,,,
"USW00094789","2013-04-13","8.95","0.01","0.0","45","19.9","    1",,,,,,,,,,,,,
"USW00094789","2013-04-14","11.41","0.00","0.0","51","28.0",,,,,,,,,,,,,,
"USW00094789","2013-04-15","8.05","0.00","0.0","48","16.1",,,,,,,"    1",,,,,,,
"USW00094789","2013-04-16","14.54","0.00","0.0","51","31.1",,,,,,,,,,,,,,
"USW00094789","2013-04-17","7.61","0.01","0.0","58","18.1",,,,,,,,,,,,,,
"USW00094789","2013-04-18","12.08","0.00","0.0","51","21.0",,,,,,,,,,,,,,
"USW00094789","2013-04-19","20.80","0.07","0.0","56","36.9",,,,,,,,,,,,,,
"USW00094789","2013-04-20","17.22","0.18","0.0","55","25.9","    1",,,,,,,,,,,,,
"USW00094789","2013-04-21","10.51","0.00","0.0","46","25.9",,,,,,,,,,,,,,
"USW00094789","2013-04-22","15.43","0.00","0.0","45","28.0",,,,,,,,,,,,,,
"USW00094789","2013-04-23","14.54","0.00","0.0","45","21.9",,,,,,,,,,,,,,
"USW00094789","2013-04-24","13.87","0.00","0.0","50","31.1",,,,,,,,,,,,,,
"USW00094789","2013-04-25","15.21","0.00","0.0","54","28.0",,,,,,,,,,,,,,
"USW00094789","2013-04-26","8.50","0.00","0.0","54","18.1",,,,,,,,,,,,,,
"USW00094789","2013-04-27","8.95","0.00","0.0","55","18.1",,,,,,,,,,,,,,
"USW00094789","2013-04-28","8.50","0.00","0.0","53","18.1",,,,,,,,,,,,,,
"USW00094789","2013-04-29","8.72","0.05","0.0","53","14.1",,,,,,,,,,,,,,
"USW00094789","2013-04-30","9.62","0.00","0.0","56","21.9",,,,,,,,,,,,,,
"USW00094789","2013-05-01","7.83","0.00","0.0","54","17.0",,,,,,,,,,,,,,
"USW00094789","2013-05-02","6.04","0.00","0.0","54","13.0",,,,,,,,,,,,,,
"USW00094789","2013-05-03","8.50","0.00","0.0","54","18.1",,,,,,,,,,,,,,
"USW00094789","2013-05-04","8.95","0.00","0.0","53","17.0",,,,,,,,,,,,,,
"USW00094789","2013-05-05","10.29","0.00","0.0","50","19.9",,,,,,,,,,,,,,
"USW00094789","2013-05-06","5.59","0.00","0.0","53","13.0",,,,,,,,,,,,,,
"USW00094789","2013-05-07","8.28","0.00","0.0","57","18.1",,,,,,,"    1",,,,,,,
"USW00094789","2013-05-08","10.07","1.54","0.0","61","21.9",,,,,,,,,,,,,,
"USW00094789","2013-05-09","7.61","0.75","0.0","59","14.1",,,,,,,,,,,,,,
"USW00094789","2013-05-10","9.62","0.00","0.0","63","19.9",,,,,,,,,,,,,,
"USW00094789","2013-05-11","13.42","0.39","0.0","61","25.9",,,,,,,,,,,,,,
"USW00094789","2013-05-12","18.34","0.02","0.0","63","33.1","    1",,,,,,,,,,,,,
"USW00094789","2013-05-13","16.33","0.00","0.0","53","23.9",,,,,,,,,,,,,,
"USW00094789","2013-05-14","11.41","0.00","0.0","51","21.9",,,,,,,,,,,,,,
"USW00094789","2013-05-15","11.41","0.03","0.0","55","21.9",,,,,,,,,,,,,,
"USW00094789","2013-05-16","8.50","0.00","0.0","64","21.9","    1",,,,,,,,,,,,,
"USW00094789","2013-05-17","8.72","0.00","0.0","65","21.9",,,,,,,,,,,,,,
"USW00094789","2013-05-18","5.82","0.01","0.0","59","14.1",,,,,,,,,,,,,,
"USW00094789","2013-05-19","10.74","0.45","0.0","57","21.0",,,,,,,,,,,,,,
"USW00094789","2013-05-20","7.16","0.00","0.0","62","16.1",,,,,,,,,,,,,,
"USW00094789","2013-05-21","8.95","0.00","0.0","67","21.9",,,,,,,,,,,,,,
"USW00094789","2013-05-22","7.61","0.00","0.0","65","18.1",,,,,,,,,,,,,,
"USW00094789","2013-05-23","18.12","0.03","0.0","65","31.1",,,,,,,,,,,,,,
"USW00094789","2013-05-24","13.65","0.20","0.0","60","25.1","    1",,,,,,,,,,,,,
"USW00094789","2013-05-25","21.92","0.07","0.0","49","38.0","    1",,,,,,,,,,,,,
"USW00094789","2013-05-26","17.67","0.00","0.0","57","30.0",,,,,,,,,,,,,,
"USW00094789","2013-05-27","11.41","0.00","0.0","60","21.9",,,,,,,,,,,,,,
"USW00094789","2013-05-28","5.37","0.54","0.0","58","13.0","    1",,,,,,,,,,,,,
"USW00094789","2013-05-29","4.92","0.00","0.0","63","14.1",,,,,,,,,,,,,,
"USW00094789","2013-05-30","8.50","0.00","0.0","72","23.0",,,,,,,,,,,,,,
"USW00094789","2013-05-31","10.29","0.00","0.0","73","21.9",,,,,,,,,,,,,,
"USW00094789","2013-06-01","11.63","0.00","0.0","71","25.9",,,,,,,,,,,,,,
"USW00094789","2013-06-02","12.97","0.01","0.0","68","25.1","    1",,,,,,,,,,,,,
"USW00094789","2013-06-03","8.50","0.37","0.0","67","19.9",,,,,,,,,,,,,,
"USW00094789","2013-06-04","13.20","0.00","0.0","67","23.0",,,,,,,"    1",,,,,,,
"USW00094789","2013-06-05","9.17","0.00","0.0","65","17.0",,,,,,,,,,,,,,
"USW00094789","2013-06-06","9.62","0.03","0.0","63","21.0",,,,,,,,,,,,,,
"USW00094789","2013-06-07","13.42","4.01","0.0","62","21.9","    1",,,,,,,,,,,,,
"USW00094789","2013-06-08","11.18","0.38","0.0","65","25.1","    1",,,,,,,,,,,,,
"USW00094789","2013-06-09","7.16","0.00","0.0","70","16.1",,,,,,,,,,,,,,
"USW00094789","2013-06-10","10.29","1.38","0.0","66","25.1",,,,,,,,,,,,,,
"USW00094789","2013-06-11","16.78","0.02","0.0","71","25.9",,,,,,,,,,,,,,
"USW00094789","2013-06-12","15.21","0.00","0.0","72","29.1",,,,,,,,,,,,,,
"USW00094789","2013-06-13","14.09","0.99","0.0","66","29.1",,,,,,,,,,,,,,
"USW00094789","2013-06-14","13.20","0.15","0.0","61","25.9","    1",,,,,,,,,,,,,
"USW00094789","2013-06-15","8.95","0.00","0.0","70","18.1",,,,,,,,,,,,,,
"USW00094789","2013-06-16","10.51","0.00","0.0","69","25.1",,,,,,,,,,,,,,
"USW00094789","2013-06-17","9.40","0.13","0.0","74","19.9",,,,,,,,,,,,,,
"USW00094789","2013-06-18","6.49","0.20","0.0","70","16.1",,,,,,,,,,,,,,
"USW00094789","2013-06-19","10.29","0.00","0.0","68","21.9","    1",,,,,,,,,,,,,
"USW00094789","2013-06-20","11.18","0.00","0.0","67","21.0",,,,,,,,,,,,,,
"USW00094789","2013-06-21","10.96","0.00","0.0","68","21.0",,,,,,,,,,,,,,
"USW00094789","2013-06-22","9.84","0.00","0.0","68","19.9",,,,,,,,,,,,,,
"USW00094789","2013-06-23","10.74","0.03","0.0","71","25.9","    1",,,,,,,,,,,,,
"USW00094789","2013-06-24","10.74","0.00","0.0","76","23.0",,,,,,,,,,,,,,
"USW00094789","2013-06-25","11.18","0.00","0.0","80","32.0",,,,,,,,,,,,,,
"USW00094789","2013-06-26","10.96","0.10","0.0","80","21.0",,,,,,,,,,,,,,
"USW00094789","2013-06-27","8.95","0.13","0.0","76","25.1",,,,,,,,,,,,,,
"USW00094789","2013-06-28","12.97","0.00","0.0","76","23.0",,,,,,,,,,,,,,
"USW00094789","2013-06-29","11.86","0.00","0.0","74","25.1",,,,,,,,,,,,,,
"USW00094789","2013-06-30","9.62","0.02","0.0","73","18.1",,,,,,,,,,,,,,
"USW00094789","2013-07-01","11.41","0.98","0.0","73","21.0",,,,,,,,,,,,,,
"USW00094789","2013-07-02","12.08","0.25","0.0","73","21.0",,,,,,,,,,,,,,
"USW00094789","2013-07-03","9.62","0.09","0.0","74","19.9",,,,,,,,,,,,,,
"USW00094789","2013-07-04","10.51","0.00","0.0","77","19.9","    1",,,,,,,,,,,,,
"USW00094789","2013-07-05","10.51","0.00","0.0","79","23.0",,,,,,,,,,,,,,
"USW00094789","2013-07-06","11.18","0.00","0.0","82","19.9",,,,,,,,,,,,,,
"USW00094789","2013-07-07","10.51","0.00","0.0","83","21.0",,,,,,,,,,,,,,
"USW00094789","2013-07-08","12.97","0.00","0.0","81","21.9",,,,,,,,,,,,,,
"USW00094789","2013-07-09","10.07","0.00","0.0","79","14.1",,,,,,,,,,,,,,
"USW00094789","2013-07-10","8.95","0.06","0.0","78","19.9",,,,,,,,,,,,,,
"USW00094789","2013-07-11","6.93","0.00","0.0","78","19.9",,,,,,,,,,,,,,
"USW00094789","2013-07-12","12.30","0.27","0.0","76","17.0","    1",,,,,,,,,,,,,
"USW00094789","2013-07-13","7.61","0.00","0.0","75","15.0","    1",,,,,,,,,,,,,
"USW00094789","2013-07-14","11.18","0.00","0.0","80","21.0","    1",,,,,,,,,,,,,
"USW00094789","2013-07-15","6.71","0.00","0.0","85","16.1",,,,,,,,,,,,,,
"USW00094789","2013-07-16","10.51","0.00","0.0","87","17.0",,,,,,,,,,,,,,
"USW00094789","2013-07-17","7.16","0.00","0.0","87","15.0",,,,,,,,,,,,,,
"USW00094789","2013-07-18","9.17","0.00","0.0","86","18.1",,,,,,,,,,,,,,
"USW00094789","2013-07-19","11.63","0.00","0.0","86","21.0",,,,,,,,,,,,,,
"USW00094789","2013-07-20","13.87","0.02","0.0","86","28.0",,,,,,,,,,,,,,
"USW00094789","2013-07-21","8.28","0.00","0.0","82","15.0",,,,,,,,,,,,,,
"USW00094789","2013-07-22","7.61","0.09","0.0","78","15.0",,,,,,,,,,,,,,
"USW00094789","2013-07-23","11.18","0.40","0.0","79","21.0",,,,,,,,,,,,,,
"USW00094789","2013-07-24","10.74","0.00","0.0","81","16.1",,,,,,,,,,,,,,
"USW00094789","2013-07-25","13.42","0.03","0.0","68","21.9",,,,,,,,,,,,,,
"USW00094789","2013-07-26","10.74","0.00","0.0","71","18.1",,,,,,,,,,,,,,
"USW00094789","2013-07-27","8.28","0.00","0.0","74","16.1",,,,,,,,,,,,,,
"USW00094789","2013-07-28","8.05","0.07","0.0","73","18.1",,,"    1",,,,,,,,,,,
"USW00094789","2013-07-29","8.50","0.00","0.0","76","19.9",,,"    1",,,,,,,,,,,
"USW00094789","2013-07-30","8.72","0.00","0.0","77","17.0",,,,,,,,,,,,,,
"USW00094789","2013-07-31","8.05","0.00","0.0","76","15.0",,,,,,,,,,,,,,
"USW00094789","2013-08-01","10.07","0.65","0.0","72","21.0","    1",,,,,,,,,,,,,
"USW00094789","2013-08-02","10.29","0.00","0.0","75","17.0","    1",,,,,,,,,,,,,
"USW00094789","2013-08-03","11.18","0.00","0.0","75","17.0",,,,,,,,,,,,,,
"USW00094789","2013-08-04","10.96","0.00","0.0","75","23.0",,,,,,,,,,,,,,
"USW00094789","2013-08-05","10.51","0.00","0.0","72","17.0",,,,,,,,,,,,,,
"USW00094789","2013-08-06","8.72","0.00","0.0","72","18.1",,,,,,,,,,,,,,
"USW00094789","2013-08-07","10.96","0.00","0.0","74","19.9",,,,,,,,,,,,,,
"USW00094789","2013-08-08","13.65","0.72","0.0","74","23.9","    1",,,,,,,,,,,,,
"USW00094789","2013-08-09","13.42","0.01","0.0","76","23.9",,,,,,,,,,,,,,
"USW00094789","2013-08-10","10.29","0.00","0.0","78","23.0",,,,,,,,,,,,,,
"USW00094789","2013-08-11","8.28","0.00","0.0","74","16.1",,,,,,,,,,,,,,
"USW00094789","2013-08-12","5.14","0.48","0.0","74","13.0","    1",,,,,,,,,,,,,
"USW00094789","2013-08-13","6.49","0.74","0.0","72","14.1",,,,,,,,,,,,,,
"USW00094789","2013-08-14","16.55","0.00","0.0","70","25.9",,,,,,,,,,,,,,
"USW00094789","2013-08-15","10.07","0.00","0.0","69","19.9",,,,,,,,,,,,,,
"USW00094789","2013-08-16","6.49","0.00","0.0","71","14.1",,,,,,,,,,,,,,
"USW00094789","2013-08-17","5.59","0.00","0.0","72","13.0",,,,,,,,,,,,,,
"USW00094789","2013-08-18","4.47","0.00","0.0","71","12.1",,,,,,,,,,,,,,
"USW00094789","2013-08-19","11.18","0.00","0.0","71","21.9",,,,,,,,,,,,,,
"USW00094789","2013-08-20","8.05","0.00","0.0","75","18.1",,,,,,,,,,,,,,
"USW00094789","2013-08-21","8.72","0.00","0.0","77","17.0",,,,,,,,,,,,,,
"USW00094789","2013-08-22","7.61","0.08","0.0","74","16.1",,,,,,,,,,,,,,
"USW00094789","2013-08-23","11.86","0.00","0.0","76","21.9","    1",,,,,,,,,,,,,
"USW00094789","2013-08-24","9.17","0.00","0.0","72","17.0",,,,,,,,,,,,,,
"USW00094789","2013-08-25","11.18","0.00","0.0","72","19.9",,,,,,,,,,,,,,
"USW00094789","2013-08-26","13.20","0.02","0.0","74","21.0",,,,,,,,,,,,,,
"USW00094789","2013-08-27","11.41","0.03","0.0","78","23.0","    1",,,,,,,,,,,,,
"USW00094789","2013-08-28","4.70","0.00","0.0","77","13.0","    1",,,,,,,,,,,,,
"USW00094789","2013-08-29","8.95","0.00","0.0","75","17.0","    1",,,,,,,,,,,,,
"USW00094789","2013-08-30","10.74","0.00","0.0","74","17.0",,,,,,,,,,,,,,
"USW00094789","2013-08-31","11.18","0.00","0.0","76","18.1",,,,,,,,,,,,,,
"USW00094789","2013-09-01","8.72","0.02","0.0","76","16.1",,,,,,,,,,,,,,
"USW00094789","2013-09-02","6.04","0.00","0.0","76","14.1",,,,,,,,,,,,,,
"USW00094789","2013-09-03","9.17","0.01","0.0","77","17.0",,,,,,,,,,,,,,
"USW00094789","2013-09-04","13.20","0.00","0.0","74","21.9",,,,,,,,,,,,,,
"USW00094789","2013-09-05","12.30","0.00","0.0","74","21.0",,,,,,,,,,,,,,
"USW00094789","2013-09-06","7.61","0.00","0.0","65","16.1",,,,,,,,,,,,,,
"USW00094789","2013-09-07","11.63","0.00","0.0","67","19.9",,,,,,,,,,,,,,
"USW00094789","2013-09-08","12.97","0.00","0.0","74","23.0",,,,,,,,,,,,,,
"USW00094789","2013-09-09","9.17","0.00","0.0","65","17.0",,,,,,,,,,,,,,
"USW00094789","2013-09-10","12.30","0.00","0.0","73","21.9",,,,,,,,,,,,,,
"USW00094789","2013-09-11","10.74","0.00","0.0","78","23.9",,,,,,,,,,,,,,
"USW00094789","2013-09-12","10.07","0.29","0.0","75","25.9",,,,,,,,,,,,,,
"USW00094789","2013-09-13","12.30","0.09","0.0","73","23.9","    1",,,,,,,,,,,,,
"USW00094789","2013-09-14","12.30","0.00","0.0","62","23.0",,,,,,,,,,,,,,
"USW00094789","2013-09-15","9.17","0.00","0.0","61","17.0",,,,,,,,,,,,,,
"USW00094789","2013-09-16","10.29","0.02","0.0","66","21.0",,,,,,,,,,,,,,
"USW00094789","2013-09-17","10.51","0.00","0.0","59","23.0",,,,,,,,,,,,,,
"USW00094789","2013-09-18","7.83","0.00","0.0","60","15.0",,,,,,,,,,,,,,
