"numCrashes","wind","precip","snow","propMentions","monthlyBus","monthlySubway","monthlyAAR","monthlyLIRR","monthlyMNR","label"
538,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",564
564,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",664
664,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",432
432,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",591
591,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",638
638,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",490
490,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",464
464,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",533
533,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",524
524,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",565
565,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",577
577,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",603
603,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",536
536,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",494
494,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",528
528,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",648
648,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",559
559,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",522
522,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",604
604,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",528
528,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",498
498,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",505
505,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",574
574,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",612
612,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",604
604,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",638
638,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",513
513,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",376
376,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",530
530,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",540
540,NA,NA,NA,NA,"53537317","137228468","772969","7289683","7062979",616
616,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",570
570,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",589
589,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",568
568,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",518
518,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",593
593,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",547
547,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",528
528,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",581
581,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",617
617,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",507
507,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",505
505,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",504
504,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",520
520,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",602
602,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",613
613,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",574
574,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",540
540,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",467
467,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",473
473,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",482
482,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",504
504,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",574
574,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",601
601,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",474
474,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",471
471,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",548
548,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",587
587,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",550
550,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",618
618,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",701
701,NA,NA,NA,NA,"54471313","139253563","778153","7482932","7192537",515
515,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",421
421,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",373
373,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",606
606,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",601
601,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",572
572,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",680
680,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",598
598,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",464
464,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",637
637,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",521
521,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",651
651,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",632
632,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",609
609,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",557
557,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",458
458,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",452
452,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",556
556,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",612
612,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",522
522,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",654
654,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",547
547,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",480
480,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",562
562,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",594
594,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",404
404,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",620
620,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",703
703,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",485
485,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",449
449,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",555
555,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",593
593,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",502
502,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",554
554,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",693
693,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",500
500,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",481
481,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",376
376,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",570
570,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",640
640,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",657
657,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",594
594,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",547
547,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",517
517,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",607
607,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",602
602,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",615
615,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",630
630,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",738
738,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",587
587,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",426
426,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",609
609,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",522
522,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",494
494,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",511
511,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",598
598,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",524
524,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",403
403,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",298
298,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",372
372,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",549
549,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",439
439,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",345
345,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",307
307,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",344
344,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",479
479,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",514
514,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",718
718,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",550
550,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",688
688,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",444
444,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",526
526,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",547
547,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",648
648,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",625
625,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",623
623,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",672
672,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",542
542,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",446
446,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",585
585,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",671
671,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",689
689,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",384
384,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",481
481,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",458
458,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",415
415,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",563
563,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",583
583,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",512
512,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",515
515,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",576
576,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",480
480,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",455
455,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",621
621,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",621
621,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",514
514,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",620
620,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",714
714,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",580
580,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",544
544,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",619
619,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",578
578,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",550
550,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",545
545,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",648
648,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",523
523,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",500
500,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",649
649,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",645
645,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",590
590,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",606
606,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",751
751,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",542
542,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",408
408,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",518
518,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",354
354,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",531
531,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",525
525,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",557
